id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,eta_PV,0.21,1,,,,,PV
2,eta_solar_th,0.875,1,,,,,solart_th
3,COP_heat_pump,4.7,1,,,,,heat_pump
4,conversion_factor_bel_chp,0.42,1,,,,,chp
5,conversion_factor_bth_chp,0.43,1,,,,,chp
6,var_costs_excess_bel,0,EUR/MWh,,,,costs,bus
7,var_costs_excess_bth,0,EUR/MWh,,,,costs,bus
8,charge_time_storage_el,1,h,,,,,
9,charge_time_storage_th,6,h,,,,,
10,nom_val_gas,100000,MW,,,,,source
11,sum_max_gas,100000000,MWh,,,,,source
12,var_costs_gas,125,EUR/MWh,,,,costs,source
13,emission_el,387,kg/MWh,,,,,
14,emission_gas,200,kg/MWh,,,,,
15,conversion_factor_boiler,0.95,1,,,,,boiler
16,capacity_loss_storage_th,0,1,,,,,storage_th
17,inflow_conv_factor_storage_th,1,1,,,,,storage_th
18,outflow_conv_factor_storage_th,0.9,1,,,,,storage_th
19,capacity_loss_storage_el,0,1,,,,,storage_el
20,inflow_conv_factor_storage_el,1,1,,,,,storage_el
21,outflow_conv_factor_storage_el,0.95,1,,,,,storage_el
22,init_capacity_storage_th,0.5,1,,,,,storage_th
23,init_capacity_storage_el,0.5,1,,,,,storage_el
24,lifetime,20,a,,,,,
25,wacc,0.05,1,,,,,
26,invest_cost_wind,2260000,EUR/unit,,,,costs,
27,invest_cost_chp,240000,EUR/unit,,,,costs,
28,invest_cost_boiler,3000000,EUR/unit,,,,costs,
29,invest_cost_heatpump,2210526,EUR/unit,,,,costs,
30,invest_cost_pv,1500000,EUR/ha,,,,costs,
31,invest_cost_solarthermal,4110000,EUR/ha,,,,costs,
32,invest_cost_storage_el,23400000,EUR/daily_demand_el,,,,costs,
33,invest_cost_PV_pp,1500000,EUR/ha,,,,,
34,invest_cost_storage_th,14000000,EUR/daily_demand_th,,,,costs,
35,var_costs_shortage_bel,315,EUR/MWh,,,,costs,bus
36,var_costs_shortage_bth,90,EUR/MWh,,,,costs,bus
37,emission_heat,222,kg/MWh,,,,,
38,daily_demand_th,288,MWh,,,,,
39,daily_demand_el,52,MWh,,,,,
40,chp_heat_output,0.5,MW,,,,,
41,heatpump_heat_output,3,MW,,,,,
42,boiler_heat_output,3,MW,,,,,
43,PV_pp_surface_area,4,ha,,,,,PV_pp
44,var_costs_excess_bh2,0,EUR/MWh,,,,costs,bus
45,var_costs_shortage_bh2,75,EUR/MWh,,,,costs,bus
46,eta_electrolyser,0.75,1,,,,,electrolyser
47,daily_demand_h2,0.82,MWh,,,,,
48,charge_time_storage_h2,1,h,,,,,
49,capacity_loss_storage_h2,0,1,,,,,storage_h2
50,init_capacity_storage_h2,0.5,1,,,,,storage_h2
51,inflow_conv_factor_storage_h2,1,1,,,,,storage_h2
52,outflow_conv_factor_storage_h2,1,1,,,,,storage_h2
53,emission_h2,0,kg/MWh,,,,,
54,invest_cost_electrolyser,1500000,EUR/unit,,,,costs,
55,invest_cost_storage_h2,285000,EUR/daily_demand_h2,,,,costs,
56,electrolyser_h2_output,1,MW,,,,,
57,eta_Hydrogen_SMR,0.8,1,,,,,Hydrogen SMR
58,invest_cost_Hydrogen_SMR,11000,EUR/unit,,,,costs,
59,Hydrogen_SMR_h2_output,1,MW,,,,,
